plan_id,carrier,plan_name,state,snp_type,sample_zip,food_card_amount,frequency,notes,who_qualifies,current_db_status
H2293-035,Aetna Medicare,Aetna Medicare Chronic Care (PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5302-026,Aetna Medicare,Aetna Medicare Chronic Care (HMO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5422-015,Anthem Blue Cross and Blue Shield,Anthem Kidney Care (HMO-POS C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7917-044,BlueCross BlueShield of Tennessee,BlueAdvantage Total Heart and Diabetes (PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5453-015,Devoted Health,DEVOTED C-SNP CHOICE PREMIUM 015 GA (PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5453-016,Devoted Health,DEVOTED C-SNP CHOICE PLUS 016 GA (PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5453-017,Devoted Health,DEVOTED C-SNP CHOICE PREMIUM 017 GA (PPO C-SNP),GA,C-SNP,30901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5453-018,Devoted Health,DEVOTED C-SNP CHOICE PREMIUM 018 GA (PPO C-SNP),GA,C-SNP,31901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5216-246,Humana,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H1889-020,UnitedHealthcare,UHC Complete Care GA-3 (PPO C-SNP),GA,C-SNP,30501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H1889-028,UnitedHealthcare,UHC Complete Care Support GA-9 (PPO C-SNP),GA,C-SNP,30501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
R2604-002,UnitedHealthcare,UHC Complete Care Support GS-1A (Regional PPO C-SNP),GA,C-SNP,30303,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H2293-002,Aetna Medicare,Aetna Medicare Dual Extra Care (PPO D-SNP),GA,D-SNP,30303,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
